date,equity,holdings
2024-01-02,1000000.0,0
2024-01-03,1000000.0,0
2024-01-04,1000000.0,0
2024-01-05,1000000.0,0
2024-01-08,1000000.0,0
2024-01-09,1000000.0,0
2024-01-10,1000000.0,0
2024-01-11,1000000.0,0
2024-01-12,1000000.0,0
2024-01-15,1000000.0,0
2024-01-16,1000000.0,0
2024-01-17,1000000.0,0
2024-01-18,1000000.0,0
2024-01-19,1000000.0,0
2024-01-22,1000000.0,0
2024-01-23,1000000.0,0
2024-01-24,1000000.0,0
2024-01-25,1000000.0,0
2024-01-26,1000000.0,0
2024-01-29,1000000.0,0
2024-01-30,1000000.0,0
2024-01-31,1000000.0,0
2024-02-01,1000000.0,0
2024-02-02,1000000.0,0
2024-02-05,1000000.0,0
2024-02-06,1000000.0,0
2024-02-07,1000000.0,0
2024-02-08,1000000.0,0
2024-02-09,1000000.0,0
2024-02-12,1000000.0,0
2024-02-13,1000000.0,0
2024-02-14,1000000.0,0
2024-02-15,1000000.0,0
2024-02-16,1000000.0,0
2024-02-19,1000000.0,0
2024-02-20,1000000.0,0
2024-02-21,1000000.0,0
2024-02-22,1000000.0,0
2024-02-23,1000000.0,0
2024-02-26,1000000.0,0
2024-02-27,1000000.0,0
2024-02-28,1000000.0,0
2024-02-29,1000000.0,0
2024-03-01,1000000.0,0
2024-03-04,1000000.0,0
2024-03-05,1000000.0,0
2024-03-06,1000000.0,0
2024-03-07,1000000.0,0
2024-03-08,1000000.0,0
2024-03-11,1000000.0,0
2024-03-12,1000000.0,0
2024-03-13,1000000.0,0
2024-03-14,1000000.0,0
2024-03-15,1000000.0,0
2024-03-18,1000000.0,0
2024-03-19,1000000.0,0
2024-03-20,1000000.0,0
2024-03-21,1000000.0,0
2024-03-22,1000000.0,0
2024-03-25,997400.0,3
2024-03-26,1005850.5015,3
2024-03-27,1020675.0792,3
2024-03-28,1028531.8311,3
2024-03-29,1036775.8534,3
2024-04-01,1045905.6437,3
2024-04-02,1049592.0381,3
2024-04-03,1055859.0541,3
2024-04-04,1055443.5213,3
2024-04-05,1058264.3121,3
2024-04-08,1066520.6119,3
2024-04-09,1081963.0692,3
2024-04-10,1088927.7289,3
2024-04-11,1099582.7196,3
2024-04-12,1110950.2508,3
2024-04-15,1117113.1996,3
2024-04-16,1133763.6271,3
2024-04-17,1152767.4824,3
2024-04-18,1161187.5809,3
2024-04-19,1175602.0206,3
2024-04-22,1184780.0322,3
2024-04-23,1187849.6474,3
2024-04-24,1195303.7578,3
2024-04-25,1197745.3676,3
2024-04-26,1202638.8113,3
2024-04-29,1205596.0536,3
2024-04-30,1209441.9479,3
2024-05-01,1208535.9818,3
2024-05-02,1214093.1191,3
2024-05-03,1221329.0841,3
2024-05-06,1218451.4726,3
2024-05-07,1216881.1805,3
2024-05-08,1219382.4019,3
2024-05-09,1223980.3977,3
2024-05-10,1237397.0065,3
2024-05-13,1237058.1391,3
