date,equity,holdings
2024-01-02,1000000.0,0
2024-01-03,1000000.0,0
2024-01-04,1000000.0,0
2024-01-05,1000000.0,0
2024-01-08,1000000.0,0
2024-01-09,1000000.0,0
2024-01-10,1000000.0,0
2024-01-11,1000000.0,0
2024-01-12,1000000.0,0
2024-01-15,1000000.0,0
2024-01-16,1000000.0,0
2024-01-17,1000000.0,0
2024-01-18,1000000.0,0
2024-01-19,1000000.0,0
2024-01-22,1000000.0,0
2024-01-23,1000000.0,0
2024-01-24,1000000.0,0
2024-01-25,1000000.0,0
2024-01-26,1000000.0,0
2024-01-29,1000000.0,0
2024-01-30,1000000.0,0
2024-01-31,1000000.0,0
2024-02-01,1000000.0,0
2024-02-02,1000000.0,0
2024-02-05,1000000.0,0
2024-02-06,1000000.0,0
2024-02-07,1000000.0,0
2024-02-08,1000000.0,0
2024-02-09,1000000.0,0
2024-02-12,1000000.0,0
2024-02-13,1000000.0,0
2024-02-14,1000000.0,0
2024-02-15,1000000.0,0
2024-02-16,1000000.0,0
2024-02-19,1000000.0,0
2024-02-20,1000000.0,0
2024-02-21,1000000.0,0
2024-02-22,1000000.0,0
2024-02-23,1000000.0,0
2024-02-26,1000000.0,0
2024-02-27,1000000.0,0
2024-02-28,1000000.0,0
2024-02-29,1000000.0,0
2024-03-01,1000000.0,0
2024-03-04,1000000.0,0
2024-03-05,1000000.0,0
2024-03-06,1000000.0,0
2024-03-07,1000000.0,0
2024-03-08,1000000.0,0
2024-03-11,1000000.0,0
2024-03-12,1000000.0,0
2024-03-13,1000000.0,0
2024-03-14,1000000.0,0
2024-03-15,1000000.0,0
2024-03-18,1000000.0,0
2024-03-19,1000000.0,0
2024-03-20,1000000.0,0
2024-03-21,1000000.0,0
2024-03-22,1000000.0,0
2024-03-25,997400.0,4
2024-03-26,1003383.0431,4
2024-03-27,1010734.9666,4
2024-03-28,1015068.0178,4
2024-03-29,1016639.539,4
2024-04-01,1022653.5902,3
2024-04-02,1026147.6905,3
2024-04-03,1032087.1602,3
2024-04-04,1031693.4168,3
2024-04-05,1034366.3252,3
2024-04-08,1041876.6681,4
2024-04-09,1056795.7661,4
2024-04-10,1062851.0547,4
2024-04-11,1072140.2664,4
2024-04-12,1081311.6791,4
2024-04-15,1091669.2085,4
2024-04-16,1104040.3029,4
2024-04-17,1115309.5792,4
2024-04-18,1120954.1731,4
2024-04-19,1130791.0029,4
2024-04-22,1131950.0318,3
2024-04-23,1134792.9934,3
2024-04-24,1141696.1627,3
2024-04-25,1143956.8789,3
2024-04-26,1148487.4952,3
2024-04-29,1150476.8335,4
2024-04-30,1152757.2713,4
2024-05-01,1155826.5663,4
2024-05-02,1159883.1214,4
2024-05-03,1164329.9347,4
2024-05-06,1164576.5662,5
2024-05-07,1164892.4958,5
2024-05-08,1170277.051,5
2024-05-09,1175150.9828,5
2024-05-10,1186144.6128,5
2024-05-13,1187237.8809,4
